run_id,query_count,precision_at_10,ndcg_at_10,mean_relevance_at_10,mean_relevance_norm_at_10,high_relevance_rate_at_10,weak_or_irrelevant_rate_at_10,reciprocal_rank_at_10,exploration_range_raw,exploration_range_norm,broad_summary_score,field_subfield_diversity_at_10,venue_pairwise_match_rate_at_10,pooled_relevant_recall_at_10,pooled_coverage_at_10,unique_paper_count_at_10,unique_relevant_count_at_10,overlap_jaccard_mean_at_10
andrew,100,0.2630,0.7342,1.0540,0.3513,0.1510,0.7370,0.4564,3.0400,0.5100,0.4554,0.3883,0.0342,0.3944,0.3542,6.9900,1.2400,0.1076
audrey,100,0.2050,0.6235,0.8130,0.2710,0.0930,0.7950,0.3523,2.8000,0.4500,0.3926,0.3383,0.0207,0.2132,0.3542,8.5100,1.2100,0.0575
massimo,100,0.4060,0.8726,1.4990,0.4997,0.2410,0.5940,0.7485,3.5000,0.6250,0.6271,0.3227,0.0372,0.6528,0.3542,2.5800,0.7000,0.2508
nomic,100,0.4010,0.8801,1.4960,0.4987,0.2270,0.5990,0.7443,3.5200,0.6300,0.6216,0.3296,0.0303,0.6473,0.3542,2.2500,0.5600,0.2588
