run_id,query_count,precision_at_10,ndcg_at_10,mean_relevance_at_10,mean_relevance_norm_at_10,high_relevance_rate_at_10,weak_or_irrelevant_rate_at_10,reciprocal_rank_at_10,exploration_range_raw,exploration_range_norm,broad_summary_score,field_subfield_diversity_at_10,venue_pairwise_match_rate_at_10,pooled_relevant_recall_at_10,pooled_coverage_at_10,unique_paper_count_at_10,unique_relevant_count_at_10,overlap_jaccard_mean_at_10
andrew,100,0.2630,0.7342,1.0540,0.3513,0.1510,0.7370,0.4564,3.0400,0.5100,0.4554,0.3883,0.0342,0.4128,0.3820,7.5700,1.4600,0.0836
audrey,100,0.2050,0.6235,0.8130,0.2710,0.0930,0.7950,0.3523,2.8000,0.4500,0.3926,0.3383,0.0207,0.2243,0.3820,8.7000,1.2700,0.0493
massimo,100,0.4060,0.8726,1.4990,0.4997,0.2410,0.5940,0.7485,3.5000,0.6250,0.6271,0.3227,0.0372,0.6956,0.3820,6.9700,2.4700,0.1027
